name,author,type,url,previewURL,price,timeHours,timeMinutes,productImage
Tactic Toolbox Semi-Slav with 5.Bg5,Robert Ris,FritzTrainer,https://shop.chessbase.com/en/products/ris_tactic_toolbox_semi_slav_5bg5,//youtube.com/embed/PFrw286ZgDQ,29.65,,41,https://shop.chessbase.com/en/pics/bp_7805
Trends in modern openings (2014),Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/kasimdzhanov_trends_in_modern_openings,//youtube.com/embed/uQMkMPyItU0,29.65,4,,https://shop.chessbase.com/en/pics/bp_7778
English Attack,Daniel Gormally,FritzTrainer,https://shop.chessbase.com/en/products/gormally_english_attack,//youtube.com/embed/FchKif01tTg,29.65,7,,https://shop.chessbase.com/en/pics/bp_7842
The Ruy Lopez Breyer Variation,Pavel Eljanov,FritzTrainer,https://shop.chessbase.com/en/products/eljanov_ruy_lopez_breyer_variation,//youtube.com/embed/T_nChgNl7Xk,29.65,5,13,https://shop.chessbase.com/en/pics/bp_7843
Winning against King's Indian - With the main line,Mihail Marin,FritzTrainer,https://shop.chessbase.com/en/products/marin_winning_against_kings_indian,//youtube.com/embed/fiWeYnpWvDI,29.65,4,11,https://shop.chessbase.com/en/pics/bp_7789
Power Play 22: A Repertoire for Black with the French Defence,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/king_power_play_22_french,//youtube.com/embed/JEghEowuSag,29.65,,43,https://shop.chessbase.com/en/pics/bp_7822
The Bishop's Opening and The Italian Game,Sergei Tiviakov,FritzTrainer,https://shop.chessbase.com/en/products/tiviakov_bishops_opening_and_italian_game,//youtube.com/embed/f2KWLr1bj0s,29.65,4,15,https://shop.chessbase.com/en/pics/bp_7869
The new McCutcheon,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/kasimdzhanov_the_new_mccutcheon,//youtube.com/embed/ugrA37KeQ0o,29.65,4,42,https://shop.chessbase.com/en/pics/bp_7785
Learn from the Classics,Sagar Shah,FritzTrainer,https://shop.chessbase.com/en/products/shah_learn_from_the_classics,//youtube.com/embed/FH1b13zS1rU,29.65,4,45,https://shop.chessbase.com/en/pics/bp_7883
Solid and safe against the Indian openings: Play the Fianchetto,Nicholas Pert,FritzTrainer,https://shop.chessbase.com/en/products/pert_solid_and_safe_against_indians_play_the_fianchetto,//youtube.com/embed/1t30hgG7YLM,29.65,5,44,https://shop.chessbase.com/en/pics/bp_7797
King's Gambit Vol.1,Simon Williams,FritzTrainer,https://shop.chessbase.com/en/products/williams_kings_gambit_vol1,//youtube.com/embed/okkZH4y3j40,29.65,,42,https://shop.chessbase.com/en/pics/bp_7706
King's Gambit Vol.2,Simon Williams,FritzTrainer,https://shop.chessbase.com/en/products/williams_kings_gambit_vol2,"//youtube.com/embed/aVy22a4nbrM,//youtube.com/embed/6BTs8Sg1qe8",29.65,,33,https://shop.chessbase.com/en/pics/bp_7707
Tactic Toolbox Grünfeld,Michal Krasenkow,FritzTrainer,https://shop.chessbase.com/en/products/krasenkow_tactic_toolbox_gruenfeld,//youtube.com/embed/DM0txcyTCfA,29.65,4,,https://shop.chessbase.com/en/pics/bp_7739
Play the Pirc like a Grandmaster Vol. 1: Positional lines,Mihail Marin,FritzTrainer,https://shop.chessbase.com/en/products/marin_play_the_pirc_like_a_grandmaster_vol_1_positionallines,//youtube.com/embed/BAijYAGcrPY,29.65,4,,https://shop.chessbase.com/en/pics/bp_7726
Play the Pirc like a Grandmaster Vol. 2: Attacking lines,Mihail Marin,FritzTrainer,https://shop.chessbase.com/en/products/marin_play_the_pirc_like_a_grandmaster_vol_2_attackinglines,//youtube.com/embed/qeLGzxwO8c0,29.65,,,https://shop.chessbase.com/en/pics/bp_7728
Fighting against the Caro-Kann with the Advance Variation,Victor Bologan,FritzTrainer,https://shop.chessbase.com/en/products/bologan_fighting_against_caro_kann,//youtube.com/embed/HDJqdXvQenM,29.65,,38,https://shop.chessbase.com/en/pics/bp_7716
The Modern Scotch Opening,Parimarjan Negi,FritzTrainer,https://shop.chessbase.com/en/products/negi_the_modern_scotch_opening,//youtube.com/embed/FFQmMm7OuhM,29.65,,,https://shop.chessbase.com/en/pics/bp_7723
The Triangle Setup - A complete defense against 1.d4,Michal Krasenkow,FritzTrainer,https://shop.chessbase.com/en/products/krasenkow_triangle_setup_defence_against_d4,//youtube.com/embed/PPGCdC6F3xA,29.65,5,29,https://shop.chessbase.com/en/pics/bp_7788
Original and aggressive: 1...b6 for practical players,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/davies_original_and_aggressive_1_b6_for_practical_players,//youtube.com/embed/iULDbhS2HWo,29.65,,39,https://shop.chessbase.com/en/pics/bp_7819
Tactic Toolbox Meran Variation,Robert Ris,FritzTrainer,https://shop.chessbase.com/en/products/ris_tactic_toolbox_meran_variation,//youtube.com/embed/hggxD7dZMIc,29.65,6,,https://shop.chessbase.com/en/pics/bp_7791
Tactic Toolbox Benoni,Mihail Marin,FritzTrainer,https://shop.chessbase.com/en/products/marin_tactic_toolbox_benoni,//youtube.com/embed/h_uJORFOG-0,29.65,4,45,https://shop.chessbase.com/en/pics/bp_7781
The French Defence for the Tournament Player,Nicholas Pert,FritzTrainer,https://shop.chessbase.com/en/products/pert_french_defence_for_the_tournament_player,//youtube.com/embed/tiWjnrsbzvg,29.65,7,,https://shop.chessbase.com/en/pics/bp_6625
Tactic Toolbox Scheveningen,Lubomir Ftacnik,FritzTrainer,https://shop.chessbase.com/en/products/ftacnik_tactic_toolbox_scheveningen_english,//youtube.com/embed/22wfUXZU67s,27.67,7,16,https://shop.chessbase.com/en/pics/bp_7735
The solid Slav Defence,Nicholas Pert,FritzTrainer,https://shop.chessbase.com/en/products/pert_the_solid_slav_defence,//youtube.com/embed/xVEBME6s2kA,29.65,5,20,https://shop.chessbase.com/en/pics/bp_6638
The Sicilian Dragon Vol. 1: Main Line with 9.Bc4,GM Peter Heine Nielsen,FritzTrainer,https://shop.chessbase.com/en/products/nielsen_the_sicilian_dragon_1_9_bc4,//youtube.com/embed/kVc9YYRMpUg,29.65,4,20,https://shop.chessbase.com/en/pics/bp_6650
The Sicilian Dragon Vol. 2: All Lines except 9.Bc4,GM Peter Heine Nielsen,FritzTrainer,https://shop.chessbase.com/en/products/nielsen_the_sicilian_dragon_2,//youtube.com/embed/uef1xtMIFdk,29.65,4,35,https://shop.chessbase.com/en/pics/bp_6652
Tactic Toolbox Najdorf,Niclas Huschenbeth,FritzTrainer,https://shop.chessbase.com/en/products/huschenbeth_tactic_toolbox_najdorf,//youtube.com/embed/sBnF92_ld_8,29.65,6,,https://shop.chessbase.com/en/pics/bp_7711
ABC of the English Opening,Lorin D'Costa,FritzTrainer,https://shop.chessbase.com/en/products/dcosta_abc_of_the_english_opening,//youtube.com/embed/P0yFP0eqOMM,27.67,7,,https://shop.chessbase.com/en/pics/bp_7737
Winning against the Grünfeld,Mihail Marin,FritzTrainer,https://shop.chessbase.com/en/products/marin_winning_against_the_gruenfeld,//youtube.com/embed/XBGenG4OY5A,29.65,4,31,https://shop.chessbase.com/en/pics/bp_6695
Crushing Isolated Queen’s Pawn Tactics,Robert Ris,FritzTrainer,https://shop.chessbase.com/en/products/ris_crushing_iqp_tactics,//youtube.com/embed/b6DGd_XbkjA,29.65,,29,https://shop.chessbase.com/en/pics/bp_7712
The wicked Veresov Attack,Andrew Martin,FritzTrainer,https://shop.chessbase.com/en/products/martin_the_wicked_veresov_attack,//youtube.com/embed/rFQzTT4xGSo,27.67,,24,https://shop.chessbase.com/en/pics/bp_7729
The Sicilian Tajmanov-Scheveningen,Alejandro Ramirez,FritzTrainer,https://shop.chessbase.com/en/products/ramirez_sicilian_tajmanov_scheveningen,//youtube.com/embed/WZy33UjggVE,29.65,,39,https://shop.chessbase.com/en/pics/bp_7717
Attacking with the Benko Gambit - Part 2,Alejandro Ramirez,FritzTrainer,https://shop.chessbase.com/en/products/ramirez_attacking_with_the_benko_gambit_part2,//youtube.com/embed/SNcQSu-azHA,27.67,,,https://shop.chessbase.com/en/pics/bp_6581
"The Reti, a flexible attacking opening",Alejandro Ramirez,FritzTrainer,https://shop.chessbase.com/en/products/ramirez_the_reti_a_flexible_attacking_opening,//youtube.com/embed/o2tzrd-apkg,27.67,,,https://shop.chessbase.com/en/pics/bp_6598
English 1.c4 e5 for Black,Victor Bologan,FritzTrainer,https://shop.chessbase.com/en/products/bologan_english_c4_e5_for_black,//youtube.com/embed/-NkrUurvyrs,29.65,,26,https://shop.chessbase.com/en/pics/bp_6524
"1.e4 - How to tame the Alekhine, Scandinavian and Pirc",Victor Bologan,FritzTrainer,https://shop.chessbase.com/en/products/bologan_1_e4_how_to_tame_the_alekhine_scandinavian_and_pirc,//youtube.com/embed/wvB1k0W3A08,29.65,4,30,https://shop.chessbase.com/en/pics/bp_6526
Queen's Gambit Declined,Lorin D'Costa,FritzTrainer,https://shop.chessbase.com/en/products/dcosta_murphy_queens_gambit_declined,//youtube.com/embed/XhSOC7VTsYM,27.67,7,28,https://shop.chessbase.com/en/pics/bp_6676
Tactic Toolbox Ruy Lopez / Spanish Opening,Sam Collins,FritzTrainer,https://shop.chessbase.com/en/products/collins_tactic_toolbox_ruy_lopez,//youtube.com/embed/V_d3IvIUx3c,27.67,,35,https://shop.chessbase.com/en/pics/bp_6662
