author,price,name,producer,url,productImage,previewPDFURL
Chandler & Milligan,16.95,Chess for Children,Gambit Publications,http://www.gambitbooks.com/books/Chess_for_Children.html,http://www.gambitbooks.com/bigimg/Chess_for_Children_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_for_Children.pdf
Sadler & Regan,24.95,Chess for Life,Gambit Publications,http://www.gambitbooks.com/books/Chess_for_Life.html,http://www.gambitbooks.com/bigimg/Chess_for_Life_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_for_Life.pdf
Rowson,29.95,Chess for Zebras,Gambit Publications,http://www.gambitbooks.com/books/Chess_for_Zebras.html,http://www.gambitbooks.com/bigimg/Chess_for_Zebras_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_for_Zebras.pdf
Burgess,27.50,Chess Highlights of the 20th Century,Gambit Publications,http://www.gambitbooks.com/books/Chess_Highlights_of_the_20th_Century.html,http://www.gambitbooks.com/bigimg/Chess_Highlights_of_the_20th_Century_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Highlights_of_the_20th_Century.pdf
Kislik,26.95,"
				  Chess Logic in Practice",Gambit Publications,http://www.gambitbooks.com/books/Chess_Logic_in_Practice.html,http://www.gambitbooks.com/bigimg/Chess_Logic_in_Practice_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Logic_in_Practice.pdf
Burgess,16.95,"Chess Opening 
				  Traps for Kids",Gambit Publications,http://www.gambitbooks.com/books/Chess_Opening_Traps_for_Kids.html,http://www.gambitbooks.com/bigimg/Chess_Opening_Traps_for_Kids_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Opening_Traps_for_Kids.pdf
Burgess,16.95,"Chess 
				  Opening Workbook for Kids",Gambit Publications,http://www.gambitbooks.com/books/Chess_Opening_Workbook_for_Kids.html,http://www.gambitbooks.com/bigimg/Chess_Opening_Workbook_for_Kids_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Opening_Workbook_for_Kids.pdf
Watson & Burgess,16.95,Chess Openings for Kids,Gambit Publications,http://www.gambitbooks.com/books/Chess_Openings_for_Kids.html,http://www.gambitbooks.com/bigimg/Chess_Openings_for_Kids_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Openings_for_Kids.pdf
Chandler,16.95,Chess Puzzles for Kids,Gambit Publications,http://www.gambitbooks.com/books/Chess_Puzzles_for_Kids.html,http://www.gambitbooks.com/bigimg/Chess_Puzzles_for_Kids_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Puzzles_for_Kids.pdf
Beim,17.95,Chess Recipes from the Grandmaster's Kitchen,Gambit Publications,http://www.gambitbooks.com/books/Chess_Recipes_from_the_Grandmaster's_Kitchen.html,http://www.gambitbooks.com/bigimg/Chess_Recipes_from_the_Grandmaster's_Kitchen_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Recipes_from_the_Grandmaster's_Kitchen.pdf
Watson,29.95,Chess Strategy in Action,Gambit Publications,http://www.gambitbooks.com/books/Chess_Strategy_in_Action.html,http://www.gambitbooks.com/bigimg/Chess_Strategy_in_Action_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Strategy_in_Action.pdf
Engqvist,16.95,"
				  Chess Strategy for Kids",Gambit Publications,http://www.gambitbooks.com/books/Chess_Strategy_for_Kids.html,http://www.gambitbooks.com/bigimg/Chess_Strategy_for_Kids_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Strategy_for_Kids.pdf
Chandler,16.95,Chess Tactics for Kids,Gambit Publications,http://www.gambitbooks.com/books/Chess_Tactics_for_Kids.html,http://www.gambitbooks.com/bigimg/Chess_Tactics_for_Kids_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Tactics_for_Kids.pdf
Nunn,16.95,"Chess 
				  Tactics Workbook for Kids",Gambit Publications,http://www.gambitbooks.com/books/Chess_Tactics_Workbook_for_Kids.html,http://www.gambitbooks.com/bigimg/Chess_Tactics_Workbook_for_Kids_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Tactics_Workbook_for_Kids.pdf
Hall,19.95,Chess Training for Budding Champions,Gambit Publications,http://www.gambitbooks.com/books/Chess_Training_for_Budding_Champions.html,http://www.gambitbooks.com/bigimg/Chess_Training_for_Budding_Champions_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Training_for_Budding_Champions.pdf
Gude,19.95,A Complete Chess Course,Gambit Publications,http://www.gambitbooks.com/books/A_Complete_Chess_Course.html,http://www.gambitbooks.com/bigimg/A_Complete_Chess_Course_Big.jpg,http://www.gambitbooks.com/pdfs/A_Complete_Chess_Course.pdf
Yakovich,14.95,The Complete Sveshnikov Sicilian,Gambit Publications,http://www.gambitbooks.com/books/The_Complete_Sveshnikov_Sicilian.html,http://www.gambitbooks.com/bigimg/The_Complete_Sveshnikov_Sicilian_Big.jpg,http://www.gambitbooks.com/pdfs/The_Complete_Sveshnikov_Sicilian.pdf
Bojkov & Georgiev,22.95,A Course in Chess Tactics,Gambit Publications,http://www.gambitbooks.com/books/A_Course_in_Chess_Tactics.html,http://www.gambitbooks.com/bigimg/A_Course_in_Chess_Tactics_Big.jpg,http://www.gambitbooks.com/pdfs/A_Course_in_Chess_Tactics.pdf
Burgess,23.95,A Cunning Chess Opening Repertoire for White,Gambit Publications,http://www.gambitbooks.com/books/A_Cunning_Chess_Opening_Repertoire_for_White.html,http://www.gambitbooks.com/bigimg/A_Cunning_Chess_Opening_Repertoire_for_White_Big.jpg,http://www.gambitbooks.com/pdfs/A_Cunning_Chess_Opening_Repertoire_for_White.pdf
Eingorn,14.95,Decision-Making at the Chessboard,Gambit Publications,http://www.gambitbooks.com/books/Decision-Making_at_the_Chessboard.html,http://www.gambitbooks.com/bigimg/Decision-Making_at_the_Chessboard_Big.jpg,http://www.gambitbooks.com/pdfs/Decision-Making_at_the_Chessboard.pdf
Kosten,24.95,The Dynamic English,Gambit Publications,http://www.gambitbooks.com/books/The_Dynamic_English.html,http://www.gambitbooks.com/bigimg/The_Dynamic_English_Big.jpg,http://www.gambitbooks.com/pdfs/The_Dynamic_English.pdf
Marović,27.95,Dynamic Pawn Play in Chess,Gambit Publications,http://www.gambitbooks.com/books/Dynamic_Pawn_Play_in_Chess.html,http://www.gambitbooks.com/bigimg/Dynamic_Pawn_Play_in_Chess_Big.jpg,http://www.gambitbooks.com/pdfs/Dynamic_Pawn_Play_in_Chess.pdf
Kosikov,22.95,Elements of Chess Strategy,Gambit Publications,http://www.gambitbooks.com/books/Elements_of_Chess_Strategy.html,http://www.gambitbooks.com/bigimg/Elements_of_Chess_Strategy_Big.jpg,http://www.gambitbooks.com/pdfs/Elements_of_Chess_Strategy.pdf
Nunn,24.95,Endgame Challenge,Gambit Publications,http://www.gambitbooks.com/books/Endgame_Challenge.html,http://www.gambitbooks.com/bigimg/Endgame_Challenge_Big.jpg,http://www.gambitbooks.com/pdfs/Endgame_Challenge.pdf
Sammalvuo,28.95,The English Attack,Gambit Publications,http://www.gambitbooks.com/books/The_English_Attack.html,http://www.gambitbooks.com/bigimg/The_English_Attack_Big.jpg,http://www.gambitbooks.com/pdfs/The_English_Attack.pdf
LeMoir,24.95,Essential Chess Sacrifices,Gambit Publications,http://www.gambitbooks.com/books/Essential_Chess_Sacrifices.html,http://www.gambitbooks.com/bigimg/Essential_Chess_Sacrifices_Big.jpg,http://www.gambitbooks.com/pdfs/Essential_Chess_Sacrifices.pdf
Yrjölä & Tella,23.95,"An Explosive Chess Opening Repertoire for
					 Black",Gambit Publications,http://www.gambitbooks.com/books/An_Explosive_Chess_Opening_Repertoire_for_Black.html,http://www.gambitbooks.com/bigimg/An_Explosive_Chess_Opening_Repertoire_for_Black_Big.jpg,http://www.gambitbooks.com/pdfs/An_Explosive_Chess_Opening_Repertoire_for_Black.pdf
Afek,21.95,Extreme Chess Tactics,Gambit Publications,http://www.gambitbooks.com/books/EXtreme_Chess_Tactics.html,http://www.gambitbooks.com/bigimg/EXtreme_Chess_Tactics_Big.jpg,http://www.gambitbooks.com/pdfs/EXtreme_Chess_Tactics.pdf
Lars Bo Hansen,14.95,Foundations of Chess Strategy,Gambit Publications,http://www.gambitbooks.com/books/Foundations_of_Chess_Strategy.html,http://www.gambitbooks.com/bigimg/Foundations_of_Chess_Strategy_Big.jpg,http://www.gambitbooks.com/pdfs/Foundations_of_Chess_Strategy.pdf
Pedersen,14.95,The French: Tarrasch Variation,Gambit Publications,http://www.gambitbooks.com/books/The_French_Tarrasch_Variation.html,http://www.gambitbooks.com/bigimg/The_French_Tarrasch_Variation_Big.jpg,http://www.gambitbooks.com/pdfs/The_French_Tarrasch_Variation.pdf
van der Sterren,29.95,"FCO:
					 Fundamental Chess Openings",Gambit Publications,http://www.gambitbooks.com/books/FCO_Fundamental_Chess_Openings.html,http://www.gambitbooks.com/bigimg/FCO_Fundamental_Chess_Openings_Big.jpg,http://www.gambitbooks.com/pdfs/FCO_Fundamental_Chess_Openings.pdf
Gude,29.95,Fundamental Checkmates,Gambit Publications,http://www.gambitbooks.com/books/Fundamental_Checkmates.html,http://www.gambitbooks.com/bigimg/Fundamental_Checkmates_Big.jpg,http://www.gambitbooks.com/pdfs/Fundamental_Checkmates.pdf
Müller & Lamprecht,29.95,Fundamental Chess Endings,Gambit Publications,http://www.gambitbooks.com/books/Fundamental_Chess_Endings.html,http://www.gambitbooks.com/bigimg/Fundamental_Chess_Endings_Big.jpg,http://www.gambitbooks.com/pdfs/Fundamental_Chess_Endings.pdf
Gude,28.95,Fundamental Chess Tactics,Gambit Publications,http://www.gambitbooks.com/books/Fundamental_Chess_Tactics.html,http://www.gambitbooks.com/bigimg/Fundamental_Chess_Tactics_Big.jpg,http://www.gambitbooks.com/pdfs/Fundamental_Chess_Tactics.pdf
Burgess,16.95,"The Gambit Book of Instructive Chess
					 Puzzles",Gambit Publications,http://www.gambitbooks.com/books/The_Gambit_Book_of_Instructive_Chess_Puzzles.html,http://www.gambitbooks.com/bigimg/The_Gambit_Book_of_Instructive_Chess_Puzzles_Big.jpg,http://www.gambitbooks.com/pdfs/The_Gambit_Book_of_Instructive_Chess_Puzzles.pdf
Pedersen,19.95,Gambit Guide to the Benko Gambit,Gambit Publications,http://www.gambitbooks.com/books/The_Gambit_Guide_to_the_Benko_Gambit.html,http://www.gambitbooks.com/bigimg/The_Gambit_Guide_to_the_Benko_Gambit_Big.jpg,http://www.gambitbooks.com/pdfs/The_Gambit_Guide_to_the_Benko_Gambit.pdf
Pedersen,19.95,Gambit Guide to the Bogo-Indian,Gambit Publications,http://www.gambitbooks.com/books/The_Gambit_Guide_to_the_Bogo-Indian.html,http://www.gambitbooks.com/bigimg/The_Gambit_Guide_to_the_Bogo-Indian_Big.jpg,http://www.gambitbooks.com/pdfs/The_Gambit_Guide_to_the_Bogo-Indian.pdf
Carsten Hansen ,23.95,Gambit Guide to the English Opening 1...e5,Gambit Publications,http://www.gambitbooks.com/books/The_Gambit_Guide_to_the_English_Opening_1---e5.html,http://www.gambitbooks.com/bigimg/The_Gambit_Guide_to_the_English_Opening_1---e5_Big.jpg,http://www.gambitbooks.com/pdfs/The_Gambit_Guide_to_the_English_Opening_1---e5.pdf
Watson,22.95,Gambit Guide to the Modern Benoni,Gambit Publications,http://www.gambitbooks.com/books/The_Gambit_Guide_to_the_Modern_Benoni.html,http://www.gambitbooks.com/bigimg/The_Gambit_Guide_to_the_Modern_Benoni_Big.jpg,http://www.gambitbooks.com/pdfs/The_Gambit_Guide_to_the_Modern_Benoni.pdf
Burgess,22.95,Gambit Guide to the Torre Attack,Gambit Publications,http://www.gambitbooks.com/books/The_Gambit_Guide_to_the_Torre_Attack.html,http://www.gambitbooks.com/bigimg/The_Gambit_Guide_to_the_Torre_Attack_Big.jpg,http://www.gambitbooks.com/pdfs/The_Gambit_Guide_to_the_Torre_Attack.pdf
Stohl,35.00,"Garry Kasparov's Greatest Chess Games, volume
					 1",Gambit Publications,http://www.gambitbooks.com/books/Garry_Kasparov's_Greatest_Chess_Games_volume_1.html,http://www.gambitbooks.com/bigimg/Garry_Kasparov's_Greatest_Chess_Games_volume_1_Big.jpg,http://www.gambitbooks.com/pdfs/Garry_Kasparov's_Greatest_Chess_Games_volume_1.pdf
Stohl,35.00,"Garry Kasparov's Greatest Chess Games, volume
					 2",Gambit Publications,http://www.gambitbooks.com/books/Garry_Kasparov's_Greatest_Chess_Games_volume_2.html,http://www.gambitbooks.com/bigimg/Garry_Kasparov's_Greatest_Chess_Games_volume_2_Big.jpg,http://www.gambitbooks.com/pdfs/Garry_Kasparov's_Greatest_Chess_Games_volume_2.pdf
Franco,26.95,The Giant Chess Puzzle Book,Gambit Publications,http://www.gambitbooks.com/books/The_Giant_Chess_Puzzle_Book.html,http://www.gambitbooks.com/bigimg/The_Giant_Chess_Puzzle_Book_Big.jpg,http://www.gambitbooks.com/pdfs/The_Giant_Chess_Puzzle_Book.pdf
Nunn,14.95,Grandmaster Chess Move by Move,Gambit Publications,http://www.gambitbooks.com/books/Grandmaster_Chess_Move_by_Move.html,http://www.gambitbooks.com/bigimg/Grandmaster_Chess_Move_by_Move_Big.jpg,http://www.gambitbooks.com/pdfs/Grandmaster_Chess_Move_by_Move.pdf
Avni,14.95,"The
					 Grandmaster's Mind",Gambit Publications,http://www.gambitbooks.com/books/The_Grandmaster's_Mind.html,http://www.gambitbooks.com/bigimg/The_Grandmaster's_Mind_Big.jpg,http://www.gambitbooks.com/pdfs/The_Grandmaster's_Mind.pdf
Wells,29.95,Grandmaster Secrets: the Caro-Kann,Gambit Publications,http://www.gambitbooks.com/books/Grandmaster_Secrets_the_Caro-Kann.html,http://www.gambitbooks.com/bigimg/Grandmaster_Secrets_the_Caro-Kann_Big.jpg,http://www.gambitbooks.com/pdfs/Grandmaster_Secrets_the_Caro-Kann.pdf
Franco,14.95,Grandmaster Secrets: Counter-Attack!,Gambit Publications,http://www.gambitbooks.com/books/Grandmaster_Secrets_Counter-Attack!.html,http://www.gambitbooks.com/bigimg/Grandmaster_Secrets_Counter-Attack!_Big.jpg,http://www.gambitbooks.com/pdfs/Grandmaster_Secrets_Counter-Attack!.pdf
Nunn,14.95,"Grandmaster Secrets: Winning Quickly at
					 Chess",Gambit Publications,http://www.gambitbooks.com/books/Grandmaster_Secrets_Winning_Quickly_at_Chess.html,http://www.gambitbooks.com/bigimg/Grandmaster_Secrets_Winning_Quickly_at_Chess_Big.jpg,http://www.gambitbooks.com/pdfs/Grandmaster_Secrets_Winning_Quickly_at_Chess.pdf
Lars Bo Hansen,29.95,How Chess Games are Won and Lost,Gambit Publications,http://www.gambitbooks.com/books/How_Chess_Games_are_Won_and_Lost.html,http://www.gambitbooks.com/bigimg/How_Chess_Games_are_Won_and_Lost_Big.jpg,http://www.gambitbooks.com/pdfs/How_Chess_Games_are_Won_and_Lost.pdf
Rizzitano,27.50,How to Beat 1 d4,Gambit Publications,http://www.gambitbooks.com/books/How_to_Beat_1_d4.html,http://www.gambitbooks.com/bigimg/How_to_Beat_1_d4_Big.jpg,http://www.gambitbooks.com/pdfs/How_to_Beat_1_d4.pdf
Johnsen,24.95,"How to Beat 
				  the Open Games",Gambit Publications,http://www.gambitbooks.com/books/How_to_Beat_the_Open_Games.html,http://www.gambitbooks.com/bigimg/How_to_Beat_the_Open_Games_Big.jpg,http://www.gambitbooks.com/pdfs/How_to_Beat_the_Open_Games.pdf
Chandler,16.95,"How to
					 Beat Your Dad at Chess",Gambit Publications,http://www.gambitbooks.com/books/How_to_Beat_Your_Dad_at_Chess.html,http://www.gambitbooks.com/bigimg/How_to_Beat_Your_Dad_at_Chess_Big.jpg,http://www.gambitbooks.com/pdfs/How_to_Beat_Your_Dad_at_Chess.pdf
LeMoir,19.95,How to Become a Deadly Chess Tactician,Gambit Publications,http://www.gambitbooks.com/books/How_to_Become_a_Deadly_Chess_Tactician.html,http://www.gambitbooks.com/bigimg/How_to_Become_a_Deadly_Chess_Tactician_Big.jpg,http://www.gambitbooks.com/pdfs/How_to_Become_a_Deadly_Chess_Tactician.pdf
LeMoir,17.95,How to be Lucky in Chess,Gambit Publications,http://www.gambitbooks.com/books/How_to_be_Lucky_in_Chess.html,http://www.gambitbooks.com/bigimg/How_to_be_Lucky_in_Chess_Big.jpg,http://www.gambitbooks.com/pdfs/How_to_be_Lucky_in_Chess.pdf
Giddins,19.95,"How to Build Your Chess Opening
					 Repertoire",Gambit Publications,http://www.gambitbooks.com/books/How_to_Build_Your_Chess_Opening_Repertoire.html,http://www.gambitbooks.com/bigimg/How_to_Build_Your_Chess_Opening_Repertoire_Big.jpg,http://www.gambitbooks.com/pdfs/How_to_Build_Your_Chess_Opening_Repertoire.pdf
Beim,26.95,How to Calculate Chess Tactics,Gambit Publications,http://www.gambitbooks.com/books/How_to_Calculate_Chess_Tactics.html,http://www.gambitbooks.com/bigimg/How_to_Calculate_Chess_Tactics_Big.jpg,http://www.gambitbooks.com/pdfs/How_to_Calculate_Chess_Tactics.pdf
Williams,14.95,How to Crush Your Chess Opponents,Gambit Publications,http://www.gambitbooks.com/books/How_to_Crush_Your_Chess_Opponents.html,http://www.gambitbooks.com/bigimg/How_to_Crush_Your_Chess_Opponents_Big.jpg,http://www.gambitbooks.com/pdfs/How_to_Crush_Your_Chess_Opponents.pdf
